SAMPLE_ID,mRNA_RSEM
TCGA-OR-A5J1-01,2146.01
TCGA-OR-A5J2-01,2192.32
TCGA-OR-A5J3-01,2112.28
TCGA-OR-A5J4-01,
TCGA-OR-A5J5-01,1727.34
TCGA-OR-A5J6-01,972.97
TCGA-OR-A5J7-01,971.52
TCGA-OR-A5J8-01,1045.59
TCGA-OR-A5J9-01,1488.43
TCGA-OR-A5JA-01,1892.18
TCGA-OR-A5JB-01,2087.11
TCGA-OR-A5JC-01,1647.58
TCGA-OR-A5JD-01,1607.4
TCGA-OR-A5JE-01,550.905
TCGA-OR-A5JF-01,1546.48
TCGA-OR-A5JG-01,1447.27
TCGA-OR-A5JH-01,
TCGA-OR-A5JI-01,1873.27
TCGA-OR-A5JJ-01,1773.76
TCGA-OR-A5JK-01,1349.35
TCGA-OR-A5JL-01,2661.03
TCGA-OR-A5JM-01,1103.45
TCGA-OR-A5JO-01,1742.85
TCGA-OR-A5JP-01,998.243
TCGA-OR-A5JQ-01,2016.12
TCGA-OR-A5JR-01,2539.91
TCGA-OR-A5JS-01,1583.06
TCGA-OR-A5JT-01,2513.32
TCGA-OR-A5JU-01,
TCGA-OR-A5JV-01,2824.51
TCGA-OR-A5JW-01,1842.47
TCGA-OR-A5JX-01,1812.88
TCGA-OR-A5JY-01,1450.52
TCGA-OR-A5JZ-01,2755.33
TCGA-OR-A5K0-01,1113.64
TCGA-OR-A5K1-01,1896.34
TCGA-OR-A5K2-01,647.808
TCGA-OR-A5K3-01,1844.76
TCGA-OR-A5K4-01,2903.87
TCGA-OR-A5K5-01,826.826
TCGA-OR-A5K6-01,1512.37
TCGA-OR-A5K8-01,1552.98
TCGA-OR-A5K9-01,1342.13
TCGA-OR-A5KB-01,
TCGA-OR-A5KO-01,2788.66
TCGA-OR-A5KP-01,
TCGA-OR-A5KQ-01,
TCGA-OR-A5KS-01,
TCGA-OR-A5KT-01,985.549
TCGA-OR-A5KU-01,1205.01
TCGA-OR-A5KV-01,1330.12
TCGA-OR-A5KW-01,2401.51
TCGA-OR-A5KX-01,1662.05
TCGA-OR-A5KY-01,1212.17
TCGA-OR-A5KZ-01,2213.33
TCGA-OR-A5L1-01,
TCGA-OR-A5L2-01,
TCGA-OR-A5L3-01,1188.62
TCGA-OR-A5L4-01,2490.51
TCGA-OR-A5L5-01,1815.95
TCGA-OR-A5L6-01,1248.6
TCGA-OR-A5L8-01,2270.15
TCGA-OR-A5L9-01,2080.65
TCGA-OR-A5LA-01,1877.55
TCGA-OR-A5LB-01,2484.67
