SAMPLE_ID,mRNA_all
TCGA-OR-A5J1-01,0.5702
TCGA-OR-A5J2-01,0.6293
TCGA-OR-A5J3-01,0.5264
TCGA-OR-A5J4-01,
TCGA-OR-A5J5-01,-0.0302
TCGA-OR-A5J6-01,-1.6178
TCGA-OR-A5J7-01,-1.622
TCGA-OR-A5J8-01,-1.4188
TCGA-OR-A5J9-01,-0.442
TCGA-OR-A5JA-01,0.2219
TCGA-OR-A5JB-01,0.4932
TCGA-OR-A5JC-01,-0.161
TCGA-OR-A5JD-01,-0.2293
TCGA-OR-A5JE-01,-3.1901
TCGA-OR-A5JF-01,-0.3362
TCGA-OR-A5JG-01,-0.5196
TCGA-OR-A5JH-01,
TCGA-OR-A5JI-01,0.1941
TCGA-OR-A5JJ-01,0.0431
TCGA-OR-A5JK-01,-0.7134
TCGA-OR-A5JL-01,1.1654
TCGA-OR-A5JM-01,-1.2698
TCGA-OR-A5JO-01,-0.0055
TCGA-OR-A5JP-01,-1.5469
TCGA-OR-A5JQ-01,0.3975
TCGA-OR-A5JR-01,1.0365
TCGA-OR-A5JS-01,-0.2715
TCGA-OR-A5JT-01,1.0073
TCGA-OR-A5JU-01,
TCGA-OR-A5JV-01,1.3303
TCGA-OR-A5JW-01,0.1483
TCGA-OR-A5JX-01,0.1035
TCGA-OR-A5JY-01,-0.5134
TCGA-OR-A5JZ-01,1.2617
TCGA-OR-A5K0-01,-1.2444
TCGA-OR-A5K1-01,0.228
TCGA-OR-A5K2-01,-2.7423
TCGA-OR-A5K3-01,0.1517
TCGA-OR-A5K4-01,1.407
TCGA-OR-A5K5-01,-2.0679
TCGA-OR-A5K6-01,-0.3979
TCGA-OR-A5K8-01,-0.3246
TCGA-OR-A5K9-01,-0.7282
TCGA-OR-A5KB-01,
TCGA-OR-A5KO-01,1.295
TCGA-OR-A5KP-01,
TCGA-OR-A5KQ-01,
TCGA-OR-A5KS-01,
TCGA-OR-A5KT-01,-1.5823
TCGA-OR-A5KU-01,-1.0263
TCGA-OR-A5KV-01,-0.7531
