STUDY_ID	SAMPLE_ID	STAG2
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J1-01	0.5702
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J2-01	0.6293
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J3-01	0.5264
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J4-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J5-01	-0.0302
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J6-01	-1.6178
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J7-01	-1.622
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J8-01	-1.4188
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J9-01	-0.442
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JA-01	0.2219
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JB-01	0.4932
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JC-01	-0.161
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JD-01	-0.2293
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JE-01	-3.1901
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JF-01	-0.3362
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JG-01	-0.5196
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JH-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JI-01	0.1941
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JJ-01	0.0431
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JK-01	-0.7134
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JL-01	1.1654
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JM-01	-1.2698
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JO-01	-0.0055
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JP-01	-1.5469
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JQ-01	0.3975
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JR-01	1.0365
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JS-01	-0.2715
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JT-01	1.0073
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JU-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JV-01	1.3303
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JW-01	0.1483
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JX-01	0.1035
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JY-01	-0.5134
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JZ-01	1.2617
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K0-01	-1.2444
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K1-01	0.228
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K2-01	-2.7423
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K3-01	0.1517
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K4-01	1.407
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K5-01	-2.0679
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K6-01	-0.3979
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K8-01	-0.3246
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K9-01	-0.7282
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KB-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KO-01	1.295
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KP-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KQ-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KS-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KT-01	-1.5823
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KU-01	-1.0263
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KV-01	-0.7531
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KW-01	0.8814
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KX-01	-0.1368
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KY-01	-1.0099
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KZ-01	0.6557
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L1-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L2-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L3-01	-1.0642
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L4-01	0.9821
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L5-01	0.1082
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L6-01	-0.928
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L8-01	0.7258
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L9-01	0.4846
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LA-01	0.2004
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LB-01	0.9756
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LC-01	-1.088
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LD-01	-1.3923
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LE-01	0.0565
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LF-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LG-01	-0.2119
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LH-01	0.4531
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LI-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LJ-01	1.2376
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LK-01	1.6845
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LL-01	0.3549
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LM-01	-0.438
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LN-01	0.4618
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LO-01	1.3924
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LP-01	0.6805
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LR-01	1.2009
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LS-01	0.3122
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LT-01	0.3975
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5OG-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OU-A5PI-01	0.6605
acc_tcga_pan_can_atlas_2018	TCGA-P6-A5OF-01	0.7839
acc_tcga_pan_can_atlas_2018	TCGA-P6-A5OH-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-PA-A5YG-01	1.0904
acc_tcga_pan_can_atlas_2018	TCGA-PK-A5H8-01	0.1709
acc_tcga_pan_can_atlas_2018	TCGA-PK-A5H9-01	0.7769
acc_tcga_pan_can_atlas_2018	TCGA-PK-A5HA-01	1.4531
acc_tcga_pan_can_atlas_2018	TCGA-PK-A5HB-01	0.632
acc_tcga_pan_can_atlas_2018	TCGA-PK-A5HC-01	NA
blca_tcga_pan_can_atlas_2018	TCGA-2F-A9KO-01	1.3887
blca_tcga_pan_can_atlas_2018	TCGA-2F-A9KP-01	0.5928
blca_tcga_pan_can_atlas_2018	TCGA-2F-A9KQ-01	0.9103
blca_tcga_pan_can_atlas_2018	TCGA-2F-A9KR-01	-1.1373
blca_tcga_pan_can_atlas_2018	TCGA-2F-A9KT-01	0.3378
blca_tcga_pan_can_atlas_2018	TCGA-2F-A9KW-01	0.1905
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7M-01	0.7335
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7N-01	0.053
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7O-01	0.753
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7Q-01	0.0263
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7R-01	0.8723
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7S-01	1.045
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7W-01	-0.6334
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7Y-01	1.025
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA80-01	0.6808
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA81-01	0.0498
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA82-01	1.1776
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA83-01	-1.6463
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA84-01	0.3019
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA86-01	0.0202
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA87-01	0.2061
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA89-01	-1.4873
blca_tcga_pan_can_atlas_2018	TCGA-5N-A9KI-01	-0.2398
blca_tcga_pan_can_atlas_2018	TCGA-5N-A9KM-01	0.4395
blca_tcga_pan_can_atlas_2018	TCGA-BL-A0C8-01	0.8726
blca_tcga_pan_can_atlas_2018	TCGA-BL-A13I-01	-0.3372
blca_tcga_pan_can_atlas_2018	TCGA-BL-A13J-01	1.6704
blca_tcga_pan_can_atlas_2018	TCGA-BL-A3JM-01	0.4993
