SAMPLE_ID,mRNA_Diploid
TCGA-OR-A5J1-01,0.8712
TCGA-OR-A5J2-01,0.9494
TCGA-OR-A5J3-01,0.8142
TCGA-OR-A5J4-01,
TCGA-OR-A5J5-01,0.1636
TCGA-OR-A5J6-01,-1.1113
TCGA-OR-A5J7-01,-1.1138
TCGA-OR-A5J8-01,-0.9886
TCGA-OR-A5J9-01,-0.2402
TCGA-OR-A5JA-01,0.4422
TCGA-OR-A5JB-01,0.7716
TCGA-OR-A5JC-01,0.0288
TCGA-OR-A5JD-01,-0.0391
TCGA-OR-A5JE-01,-1.8247
TCGA-OR-A5JF-01,-0.1421
TCGA-OR-A5JG-01,-0.3097
TCGA-OR-A5JH-01,
TCGA-OR-A5JI-01,0.4102
TCGA-OR-A5JJ-01,0.2421
TCGA-OR-A5JK-01,-0.4752
TCGA-OR-A5JL-01,1.7416
TCGA-OR-A5JM-01,-0.8908
TCGA-OR-A5JO-01,0.1898
TCGA-OR-A5JP-01,-1.0686
TCGA-OR-A5JQ-01,0.6517
TCGA-OR-A5JR-01,1.5369
TCGA-OR-A5JS-01,-0.0802
TCGA-OR-A5JT-01,1.492
TCGA-OR-A5JU-01,
TCGA-OR-A5JV-01,2.0179
TCGA-OR-A5JW-01,0.3582
TCGA-OR-A5JX-01,0.3082
TCGA-OR-A5JY-01,-0.3042
TCGA-OR-A5JZ-01,1.901
TCGA-OR-A5K0-01,-0.8736
TCGA-OR-A5K1-01,0.4492
TCGA-OR-A5K2-01,-1.6609
TCGA-OR-A5K3-01,0.362
TCGA-OR-A5K4-01,2.152
TCGA-OR-A5K5-01,-1.3583
TCGA-OR-A5K6-01,-0.1997
TCGA-OR-A5K8-01,-0.1311
TCGA-OR-A5K9-01,-0.4874
TCGA-OR-A5KB-01,
TCGA-OR-A5KO-01,1.9573
TCGA-OR-A5KP-01,
TCGA-OR-A5KQ-01,
TCGA-OR-A5KS-01,
TCGA-OR-A5KT-01,-1.0901
TCGA-OR-A5KU-01,-0.7192
TCGA-OR-A5KV-01,-0.5077
TCGA-OR-A5KW-01,1.303
TCGA-OR-A5KX-01,0.0533
TCGA-OR-A5KY-01,-0.7071
TCGA-OR-A5KZ-01,0.985
TCGA-OR-A5L1-01,
TCGA-OR-A5L2-01,
TCGA-OR-A5L3-01,-0.7469
TCGA-OR-A5L4-01,1.4534
TCGA-OR-A5L5-01,0.3134
TCGA-OR-A5L6-01,-0.6455
TCGA-OR-A5L8-01,1.081
TCGA-OR-A5L9-01,0.7607
TCGA-OR-A5LA-01,0.4175
TCGA-OR-A5LB-01,1.4435
TCGA-OR-A5LC-01,-0.7641
TCGA-OR-A5LD-01,-0.9716
TCGA-OR-A5LE-01,0.2566
TCGA-OR-A5LF-01,
TCGA-OR-A5LG-01,-0.0219
TCGA-OR-A5LH-01,0.7209
TCGA-OR-A5LI-01,
TCGA-OR-A5LJ-01,1.8606
TCGA-OR-A5LK-01,2.6697
TCGA-OR-A5LL-01,0.5996
TCGA-OR-A5LM-01,-0.2365
TCGA-OR-A5LN-01,0.7319
TCGA-OR-A5LO-01,2.1261
TCGA-OR-A5LP-01,1.0187
TCGA-OR-A5LR-01,1.7997
TCGA-OR-A5LS-01,0.5483
TCGA-OR-A5LT-01,0.6517
TCGA-OR-A5OG-01,
TCGA-OU-A5PI-01,0.9915
TCGA-P6-A5OF-01,1.1624
TCGA-P6-A5OH-01,
TCGA-PA-A5YG-01,1.6214
TCGA-PK-A5H8-01,0.3837
TCGA-PK-A5H9-01,1.1525
TCGA-PK-A5HA-01,2.2344
TCGA-PK-A5HB-01,0.9531
TCGA-PK-A5HC-01,
TCGA-2F-A9KO-01,2.6498
TCGA-2F-A9KP-01,0.6663
TCGA-2F-A9KQ-01,1.3342
TCGA-2F-A9KR-01,-1.2719
TCGA-2F-A9KT-01,0.2234
TCGA-2F-A9KW-01,-0.0001
TCGA-4Z-AA7M-01,0.9449
TCGA-4Z-AA7N-01,-0.1898
TCGA-4Z-AA7O-01,0.9857
TCGA-4Z-AA7Q-01,-0.2247
TCGA-4Z-AA7R-01,1.2467
TCGA-4Z-AA7S-01,1.6632
TCGA-4Z-AA7W-01,-0.9153
TCGA-4Z-AA7Y-01,1.6125
TCGA-4Z-AA80-01,0.8374
TCGA-4Z-AA81-01,-0.1941
TCGA-4Z-AA82-01,2.0174
TCGA-4Z-AA83-01,-1.5288
TCGA-4Z-AA84-01,0.1669
TCGA-4Z-AA86-01,-0.2325
TCGA-4Z-AA87-01,0.0225
TCGA-4Z-AA89-01,-1.4577
TCGA-5N-A9KI-01,-0.5402
TCGA-5N-A9KM-01,0.391
TCGA-BL-A0C8-01,1.2473
TCGA-BL-A13I-01,-0.6424
TCGA-BL-A13J-01,3.6453
TCGA-BL-A3JM-01,0.4951
TCGA-BL-A5ZZ-01,-0.0441
TCGA-BT-A0S7-01,2.5261
TCGA-BT-A0YX-01,0.002
TCGA-BT-A20J-01,0.8969
TCGA-BT-A20N-01,1.2586
TCGA-BT-A20O-01,0.1696
TCGA-BT-A20P-01,-0.3182
TCGA-BT-A20Q-01,0.9728
TCGA-BT-A20R-01,0.6593
TCGA-BT-A20T-01,0.4262
TCGA-BT-A20U-01,0.3548
TCGA-BT-A20V-01,2.4789
TCGA-BT-A20W-01,1.4197
TCGA-BT-A20X-01,1.8029
TCGA-BT-A2LA-01,0.7463
TCGA-BT-A2LB-01,-1.0403
TCGA-BT-A2LD-01,-0.7533
TCGA-BT-A3PH-01,0.8006
TCGA-BT-A3PJ-01,0.5865
TCGA-BT-A3PK-01,0.834
TCGA-BT-A42B-01,
TCGA-BT-A42C-01,0.6103
TCGA-BT-A42E-01,-1.4357
TCGA-BT-A42F-01,-0.9267
TCGA-C4-A0EZ-01,1.2955
TCGA-C4-A0F0-01,4.2401
TCGA-C4-A0F1-01,-1.598
TCGA-C4-A0F6-01,1.7661
TCGA-C4-A0F7-01,0.4482
TCGA-CF-A1HR-01,-0.1237
TCGA-CF-A1HS-01,2.6197
TCGA-CF-A27C-01,-1.6004
TCGA-CF-A3MF-01,-0.0196
TCGA-CF-A3MG-01,1.3825
TCGA-CF-A3MH-01,0.4572
TCGA-CF-A3MI-01,-1.3959
TCGA-CF-A47S-01,-0.0869
TCGA-CF-A47T-01,-0.0016
TCGA-CF-A47V-01,-0.2504
TCGA-CF-A47W-01,-1.7677
TCGA-CF-A47X-01,0.3818
TCGA-CF-A47Y-01,-1.4486
TCGA-CF-A5U8-01,-1.5834
TCGA-CF-A5UA-01,-0.7886
