STUDY_ID	SAMPLE_ID	STAG2
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J1-01	0.8712
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J2-01	0.9494
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J3-01	0.8142
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J4-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J5-01	0.1636
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J6-01	-1.1113
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J7-01	-1.1138
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J8-01	-0.9886
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J9-01	-0.2402
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JA-01	0.4422
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JB-01	0.7716
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JC-01	0.0288
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JD-01	-0.0391
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JE-01	-1.8247
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JF-01	-0.1421
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JG-01	-0.3097
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JH-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JI-01	0.4102
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JJ-01	0.2421
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JK-01	-0.4752
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JL-01	1.7416
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JM-01	-0.8908
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JO-01	0.1898
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JP-01	-1.0686
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JQ-01	0.6517
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JR-01	1.5369
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JS-01	-0.0802
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JT-01	1.492
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JU-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JV-01	2.0179
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JW-01	0.3582
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JX-01	0.3082
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JY-01	-0.3042
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JZ-01	1.901
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K0-01	-0.8736
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K1-01	0.4492
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K2-01	-1.6609
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K3-01	0.362
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K4-01	2.152
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K5-01	-1.3583
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K6-01	-0.1997
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K8-01	-0.1311
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K9-01	-0.4874
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KB-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KO-01	1.9573
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KP-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KQ-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KS-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KT-01	-1.0901
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KU-01	-0.7192
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KV-01	-0.5077
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KW-01	1.303
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KX-01	0.0533
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KY-01	-0.7071
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KZ-01	0.985
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L1-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L2-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L3-01	-0.7469
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L4-01	1.4534
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L5-01	0.3134
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L6-01	-0.6455
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L8-01	1.081
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L9-01	0.7607
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LA-01	0.4175
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LB-01	1.4435
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LC-01	-0.7641
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LD-01	-0.9716
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LE-01	0.2566
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LF-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LG-01	-0.0219
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LH-01	0.7209
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LI-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LJ-01	1.8606
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LK-01	2.6697
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LL-01	0.5996
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LM-01	-0.2365
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LN-01	0.7319
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LO-01	2.1261
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LP-01	1.0187
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LR-01	1.7997
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LS-01	0.5483
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LT-01	0.6517
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5OG-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OU-A5PI-01	0.9915
acc_tcga_pan_can_atlas_2018	TCGA-P6-A5OF-01	1.1624
acc_tcga_pan_can_atlas_2018	TCGA-P6-A5OH-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-PA-A5YG-01	1.6214
acc_tcga_pan_can_atlas_2018	TCGA-PK-A5H8-01	0.3837
acc_tcga_pan_can_atlas_2018	TCGA-PK-A5H9-01	1.1525
acc_tcga_pan_can_atlas_2018	TCGA-PK-A5HA-01	2.2344
acc_tcga_pan_can_atlas_2018	TCGA-PK-A5HB-01	0.9531
acc_tcga_pan_can_atlas_2018	TCGA-PK-A5HC-01	NA
blca_tcga_pan_can_atlas_2018	TCGA-2F-A9KO-01	2.6498
blca_tcga_pan_can_atlas_2018	TCGA-2F-A9KP-01	0.6663
blca_tcga_pan_can_atlas_2018	TCGA-2F-A9KQ-01	1.3342
blca_tcga_pan_can_atlas_2018	TCGA-2F-A9KR-01	-1.2719
blca_tcga_pan_can_atlas_2018	TCGA-2F-A9KT-01	0.2234
blca_tcga_pan_can_atlas_2018	TCGA-2F-A9KW-01	-0.0001
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7M-01	0.9449
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7N-01	-0.1898
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7O-01	0.9857
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7Q-01	-0.2247
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7R-01	1.2467
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7S-01	1.6632
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7W-01	-0.9153
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7Y-01	1.6125
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA80-01	0.8374
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA81-01	-0.1941
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA82-01	2.0174
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA83-01	-1.5288
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA84-01	0.1669
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA86-01	-0.2325
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA87-01	0.0225
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA89-01	-1.4577
blca_tcga_pan_can_atlas_2018	TCGA-5N-A9KI-01	-0.5402
blca_tcga_pan_can_atlas_2018	TCGA-5N-A9KM-01	0.391
blca_tcga_pan_can_atlas_2018	TCGA-BL-A0C8-01	1.2473
blca_tcga_pan_can_atlas_2018	TCGA-BL-A13I-01	-0.6424
blca_tcga_pan_can_atlas_2018	TCGA-BL-A13J-01	3.6453
blca_tcga_pan_can_atlas_2018	TCGA-BL-A3JM-01	0.4951
blca_tcga_pan_can_atlas_2018	TCGA-BL-A5ZZ-01	-0.0441
blca_tcga_pan_can_atlas_2018	TCGA-BT-A0S7-01	2.5261
blca_tcga_pan_can_atlas_2018	TCGA-BT-A0YX-01	0.002
blca_tcga_pan_can_atlas_2018	TCGA-BT-A20J-01	0.8969
blca_tcga_pan_can_atlas_2018	TCGA-BT-A20N-01	1.2586
blca_tcga_pan_can_atlas_2018	TCGA-BT-A20O-01	0.1696
blca_tcga_pan_can_atlas_2018	TCGA-BT-A20P-01	-0.3182
blca_tcga_pan_can_atlas_2018	TCGA-BT-A20Q-01	0.9728
blca_tcga_pan_can_atlas_2018	TCGA-BT-A20R-01	0.6593
blca_tcga_pan_can_atlas_2018	TCGA-BT-A20T-01	0.4262
blca_tcga_pan_can_atlas_2018	TCGA-BT-A20U-01	0.3548
blca_tcga_pan_can_atlas_2018	TCGA-BT-A20V-01	2.4789
blca_tcga_pan_can_atlas_2018	TCGA-BT-A20W-01	1.4197
blca_tcga_pan_can_atlas_2018	TCGA-BT-A20X-01	1.8029
blca_tcga_pan_can_atlas_2018	TCGA-BT-A2LA-01	0.7463
blca_tcga_pan_can_atlas_2018	TCGA-BT-A2LB-01	-1.0403
