STUDY_ID	SAMPLE_ID	STAG2
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J1-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J2-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J3-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J4-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J5-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J6-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J7-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J8-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J9-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JA-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JB-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JC-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JD-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JE-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JF-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JG-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JH-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JI-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JJ-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JK-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JL-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JM-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JO-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JP-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JQ-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JR-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JS-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JT-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JU-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JV-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JW-01	NA
