STUDY_ID	SAMPLE_ID	STAG2
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J1-01	2146.01
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J2-01	2192.32
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J3-01	2112.28
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J4-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J5-01	1727.34
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J6-01	972.97
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J7-01	971.52
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J8-01	1045.59
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J9-01	1488.43
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JA-01	1892.18
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JB-01	2087.11
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JC-01	1647.58
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JD-01	1607.4
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JE-01	550.905
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JF-01	1546.48
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JG-01	1447.27
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JH-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JI-01	1873.27
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JJ-01	1773.76
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JK-01	1349.35
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JL-01	2661.03
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JM-01	1103.45
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JO-01	1742.85
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JP-01	998.243
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JQ-01	2016.12
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JR-01	2539.91
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JS-01	1583.06
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JT-01	2513.32
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JU-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JV-01	2824.51
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JW-01	1842.47
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JX-01	1812.88
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JY-01	1450.52
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JZ-01	2755.33
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K0-01	1113.64
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K1-01	1896.34
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K2-01	647.808
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K3-01	1844.76
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K4-01	2903.87
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K5-01	826.826
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K6-01	1512.37
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K8-01	1552.98
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K9-01	1342.13
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KB-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KO-01	2788.66
