,log2,mRNA_RSEM,mRNA_Diploid,mRNA_Normal,mRNA_all
0,0.076,2245.9057399999997,-0.17767,-0.51683,-0.17876
1,-0.071,2028.8722200000004,-0.025490000000000047,-0.20606000000000008,-0.28731000000000007
2,-0.052,2297.42,-0.09329000000000004,-0.03450000000000001,-0.04879999999999999
3,-0.184,2274.53079,-0.03597999999999999,0.10286999999999999,-0.12059
4,-0.058,2580.7640199999996,0.21467,-0.55989,0.24653
5,-0.094,2025.4714200000003,-0.08619,0.16976999999999998,-0.03508999999999999
6,-0.199,2027.5819500000002,-0.23653000000000005,-0.49103,-0.24434
7,-0.041,2508.12927,0.06059999999999999,-0.8118000000000001,0.1958
8,-0.042,2594.8598100000004,0.4251600000000001,-0.34931000000000006,0.29192
9,-0.097,2009.49832,-0.4192,0.18666,-0.34460999999999997
10,-0.037,2121.08563,-0.16740000000000002,-1.03691,-0.13461000000000004
11,-0.005,3022.28892,0.30752,-0.6283400000000001,0.1711
12,-0.103,1945.7807999999998,-0.31005999999999995,0.33016999999999996,-0.28053
13,0.027,2498.20626,0.11364999999999999,0.20640999999999998,-0.06327999999999999
14,-0.13,2407.58687,0.32434999999999997,0.052510000000000015,0.25412
15,-0.06,2232.17212,0.0645,-0.0063300000000000465,0.02955000000000003
16,0.0,2484.5456000000004,0.21022,-0.8912100000000001,0.06565000000000003
17,-0.032,3028.81057,0.60811,-0.06829999999999994,0.485
18,-0.091,2543.0639999999994,0.1637,0.6569200000000001,0.12729
19,0.022,2257.35601,-0.36608,0.15043,-0.43158
20,-0.055,2360.003,0.04040999999999999,-0.62739,0.05712999999999998
21,-0.147,2112.8601500000004,-0.30544000000000004,-0.12224000000000004,-0.30078000000000005
22,-0.009,2177.40195,-0.24098999999999995,-1.7229799999999997,-0.32251
23,-0.016,2302.65033,-0.13134,-0.7119700000000001,-0.08199999999999999
24,-0.014,2366.39,-0.0793,-0.12050999999999996,0.0032
25,-0.134,2625.6980900000003,0.40951000000000004,0.016690000000000094,0.19577999999999998
26,0.106,2281.6085799999996,-0.18765,-1.4543599999999999,-0.25212
27,-0.047,2220.49173,-0.23315000000000002,-0.19486000000000003,-0.15541999999999997
28,0.028,1870.8003699999997,-0.39953,-1.0944699999999998,-0.34518000000000004
29,-0.011,1852.84,-0.6923,-0.91814,-0.7028
30,-0.006,3132.5096600000006,0.14571,-0.39239,0.02088000000000002
31,0.324,2748.7992999999997,0.71491,0.59405,0.4215699999999999
32,-0.011,2019.66347,-0.46979999999999994,-0.88555,-0.48201
33,-0.046,2461.62145,0.007350000000000012,-1.2277200000000001,0.11686999999999999
34,-0.05,1957.6731,-0.27430999999999994,-1.1998799999999998,-0.23088000000000003
35,-0.104,2360.3650199999997,0.22821000000000002,-0.36429999999999996,0.22527999999999998
36,0.067,2608.21259,0.3101,-0.5536300000000001,0.18020999999999995
37,-0.013,2343.4716000000003,-0.025170000000000005,-0.015200000000000014,-0.06922999999999999
38,-0.023,2227.5670099999998,-0.10386000000000002,-0.71114,-0.11740999999999994
39,-0.05,1957.6731,-0.27430999999999994,-1.1998799999999998,-0.23088000000000003
40,-0.008,2591.6816,0.14275,-0.8274900000000001,0.13731
41,-0.101,2200.53189,-0.16086,0.08454000000000002,-0.20682999999999993
42,0.021,2228.3036700000002,-0.08349,-0.90998,-0.20232
43,-0.098,2262.3195499999997,-0.11994000000000002,-0.32430000000000003,-0.21076
44,-0.061,2506.92234,0.08879,-1.31123,0.08557999999999999
45,-0.018,2607.1832999999997,0.40085999999999994,-0.74311,-0.06069
46,-0.078,1934.3781999999999,-0.5963799999999999,-2.7596200000000004,-0.7565999999999999
47,0.085,2343.9211499999997,0.17817,-1.3436299999999999,0.1567
48,-0.027,2444.47782,0.009199999999999986,-0.47521,-0.015589999999999982
49,-0.137,2391.3450000000003,0.00544,-0.44338000000000005,-0.0022599999999999842
50,-0.007,2122.5798800000002,-0.43115,-0.15995999999999996,-0.49422999999999995
51,-0.034,2078.96912,-0.5581200000000001,-1.00751,-0.7374499999999999
52,-0.006,3132.5096600000006,0.14571,-0.39239,0.02088000000000002
53,-0.018,2607.1832999999997,0.40085999999999994,-0.74311,-0.06069
54,-0.026,3086.055,0.66361,-0.50794,0.54601
55,0.08,1948.0582600000002,-0.39062,-1.6891000000000003,-0.51293
56,-0.075,2186.5950000000003,-0.10349000000000005,-0.7021200000000001,-0.16461999999999996
57,-0.096,2767.4261300000003,0.28432999999999997,-0.18260000000000004,0.21651999999999996
58,-0.064,2223.17951,-0.26513,-0.72416,-0.36768000000000006
59,-0.086,2437.30747,0.26661999999999997,-0.21842999999999999,0.25728
60,-0.036,2199.91055,-0.19851,-0.7133400000000001,-0.14761999999999997
61,0.196,1995.01135,0.17207,-1.5393,0.15119
62,0.009,2358.17819,-0.19759000000000004,-0.9018800000000002,-0.2807
63,0.116,2669.27578,0.46796000000000004,0.48038,0.28600000000000003
64,-0.072,2435.24,0.16669,-0.20586000000000002,0.15011999999999998
65,0.001,2678.2648200000003,0.21932999999999997,-0.84222,0.27066999999999997
66,-0.046,2461.62145,0.007350000000000012,-1.2277200000000001,0.11686999999999999
67,-0.063,2647.8417400000003,0.11061000000000003,-0.4380400000000001,-0.11377999999999996
68,-0.059,2647.829,0.22571000000000002,0.39124,0.21528
69,-0.044,2323.57,0.06448999999999998,-0.9811099999999999,0.10958999999999999
70,-0.049,2311.8232799999996,0.12053,-0.9486100000000001,0.12680000000000002
71,-0.054,2178.85062,-0.23356999999999997,-1.45844,-0.57569
72,0.014,2709.6353,0.25619999999999993,-0.64618,0.26947
73,-0.115,2701.8176900000003,0.27412,-0.29097999999999996,0.20563000000000003
74,-0.008,2591.6816,0.14275,-0.8274900000000001,0.13731
75,-0.844,1739.81891,-0.6804399999999998,-1.1293499999999999,-1.57647
76,-0.052,2297.42,-0.09329000000000004,-0.03450000000000001,-0.04879999999999999
77,0.022,2257.35601,-0.36608,0.15043,-0.43158
78,-0.139,2136.3360000000002,-0.20954,-0.77753,-0.18913000000000002
79,-0.083,2029.4036500000002,-0.49971999999999994,-1.1865,-0.71102
80,-0.068,2571.59,0.39827,-0.35663,0.38299999999999995
81,0.056,1896.7036,-0.58583,-1.17301,-0.57619
82,-0.1,2152.1799,-0.24871,0.14978000000000008,-0.26951
83,-0.07,2264.048,-0.0024900000000000143,0.5230400000000001,-0.024919999999999987
84,-0.006,3132.5096600000006,0.14571,-0.39239,0.02088000000000002
85,-0.01,2323.2385999999997,0.08265999999999998,-1.1183599999999998,0.009370000000000012
86,-0.152,2486.20049,0.32422,-0.84616,0.32404
87,-0.006,3132.5096600000006,0.14571,-0.39239,0.02088000000000002
88,0.049,2136.99,-0.3531,-0.5913999999999999,-0.2911
89,-0.035,3106.67,0.8043,0.42427000000000004,0.7886
90,-0.088,1813.41,-0.7393,-1.7829900000000003,-0.7648
91,-0.348,2118.3014,0.07749999999999999,-0.8661900000000001,-0.22894999999999993
92,-0.237,2086.5806599999996,-0.013609999999999987,-0.8795000000000002,0.00866000000000001
93,0.071,2703.5831200000002,0.41608999999999996,-0.46873000000000004,0.19494999999999998
94,-0.332,1675.4541000000002,-0.50937,-1.7555900000000002,-0.61683
95,0.062,2450.718,0.18531000000000003,-0.51037,0.10078999999999994
96,-0.082,2617.9644999999996,0.24609999999999993,-0.5949799999999998,0.14033
97,-0.589,2156.63494,0.18294000000000005,-0.44976000000000005,0.11756000000000003
98,0.136,2332.54052,0.18610000000000004,-0.8177899999999999,0.10418999999999998
99,-0.26,2428.2034299999996,0.12182,-0.46238999999999997,0.11091
100,0.356,2676.81214,0.40993,0.41206,0.35647
101,-0.48,2002.7826899999995,-0.43737000000000004,-1.67316,-0.5061100000000001
102,-0.156,2225.9632,-0.0151,-0.2719,-0.0192
103,-0.013,2343.4716000000003,-0.025170000000000005,-0.015200000000000014,-0.06922999999999999
104,-0.093,2329.713,0.31378999999999996,0.30538999999999994,0.34299999999999997
105,0.353,3122.9816899999996,0.661,0.67825,0.53191
